"Table 1: E-5 County/State Population and Housing Estimates, 1/1/2017",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,,,
Sutter,"96,956","96,200",756,"34,339","24,477","1,446","2,217","4,678","1,521","31,709",7.7%,3.07,,
Tehama,"63,995","63,148",847,"27,536","17,690",449,"1,384","1,734","6,279","24,046",12.7%,2.64,,
Trinity,"13,628","13,248",380,"8,795","5,848",117,347,269,"2,214","5,818",33.8%,2.29,,
Tulare,"471,842","467,038","4,804","148,089","112,185","3,927","12,247","9,106","10,624","135,847",8.3%,3.43,,
Tuolumne,"54,707","51,191","3,516","31,477","25,075",294,"1,230","1,428","3,450","22,319",29.1%,2.30,,
Ventura,"857,386","846,046","11,340","288,074","184,761","31,270","15,953","44,738","11,352","273,909",4.9%,3.09,,
Yolo,"218,896","206,331","12,565","76,449","45,542","4,795","6,571","15,999","3,542","73,143",4.3%,2.81,,
Yuba,"74,577","73,282","1,295","28,305","19,772",545,"2,669","2,349","2,970","25,936",8.4%,2.90,,
,,,,,,,,,,,,,,
California,"39,523,613","38,681,700","841,913","14,070,874","8,128,817","980,957","1,126,344","3,273,164","561,586","13,020,413",7.5%,2.97,,
