"Table 1: E-5 County/State Population and Housing Estimates, 1/1/2014",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,,,
San Bernardino,"2,101,525","2,061,203","40,322","706,314","503,197","24,871","45,378","89,223","43,645","623,035",11.8%,3.30,,
San Diego,"3,231,651","3,126,418","105,233","1,180,875","610,783","104,739","85,494","333,955","45,904","1,109,541",6.0%,2.81,,
San Francisco,"848,022","822,524","25,498","381,143","65,831","59,609","80,937","174,164",602,"352,078",7.6%,2.33,,
San Joaquin,"712,046","697,901","14,145","236,943","172,059","12,279","14,862","29,158","8,585","220,802",6.8%,3.14,,
San Luis Obispo,"275,762","259,074","16,688","119,032","80,712","6,502","9,097","12,021","10,700","103,108",13.4%,2.51,,
San Mateo,"752,355","742,901","9,454","273,532","155,523","25,168","17,503","72,171","3,167","259,193",5.2%,2.87,,
Santa Barbara,"438,578","419,456","19,122","154,733","90,736","10,319","14,984","30,745","7,949","144,042",6.9%,2.91,,
Santa Clara,"1,879,196","1,848,218","30,978","644,691","347,100","62,420","48,977","167,140","19,054","616,145",4.4%,3.00,,
Santa Cruz,"271,061","258,018","13,043","105,047","66,250","9,431","9,644","12,803","6,919","96,100",8.5%,2.67,,
Shasta,"179,067","176,297","2,770","77,980","53,810","2,734","5,805","6,763","8,868","70,405",9.7%,2.51,,
Sierra,"3,204","3,166",38,"2,336","2,107",24,33,73,99,"1,451",37.9%,2.20,,
Siskiyou,"44,809","44,238",571,"24,079","16,730",571,"1,524","1,718","3,536","19,476",19.1%,2.28,,
Solano,"423,283","412,094","11,189","154,782","110,918","6,595","11,264","21,420","4,585","145,408",6.1%,2.82,,
Sonoma,"495,798","485,020","10,778","206,537","141,417","14,441","13,509","25,758","11,412","189,884",8.1%,2.54,,
Stanislaus,"529,994","523,669","6,325","180,165","134,406","7,485","12,400","17,309","8,565","166,932",7.3%,3.13,,
Sutter,"96,036","95,220",816,"34,080","24,329","1,444","2,209","4,585","1,513","31,482",7.6%,3.05,,
Tehama,"63,743","62,879",864,"27,299","17,569",451,"1,386","1,734","6,159","23,892",12.5%,2.64,,
Trinity,"13,722","13,317",405,"8,721","5,790",117,347,269,"2,198","5,899",32.4%,2.29,,
Tulare,"458,840","453,893","4,947","144,870","109,319","3,893","12,046","9,088","10,524","132,860",8.3%,3.42,,
Tuolumne,"55,082","51,266","3,816","31,347","24,987",290,"1,230","1,428","3,412","22,228",29.1%,2.31,,
Ventura,"847,103","836,376","10,727","284,489","183,389","31,018","15,641","43,100","11,341","270,404",5.0%,3.09,,
Yolo,"208,957","199,075","9,882","74,920","44,617","4,729","6,553","15,493","3,528","71,697",4.3%,2.80,,
Yuba,"73,646","72,441","1,205","27,805","19,377",545,"2,647","2,295","2,941","25,461",8.4%,2.91,,
,,,,,,,,,,,,,,
California,"38,572,211","37,733,103","839,108","13,845,357","8,038,292","972,977","1,119,175","3,154,907","560,000","12,782,757",7.7%,2.95,,
